,runTime
0,422.3844668865204
1,1862.7376861572266
2,413.0649631023407
3,804.5944244861603
4,1254.4566521644592
5,1307.0691695213318
6,1702.5589096546173
7,418.0553584098816
8,1108.0376288890839
9,186.58192586898804
10,2224.151790857315
11,1912.5819177627563
12,8.60461711883545
13,883.5648019313812
14,1575.316334247589
15,205.01939749717712
16,1688.1689298152924
17,1814.153104543686
18,408.7447512149811
19,283.44414138793945
20,1709.6893901824951
21,1970.5755784511566
22,397.74176573753357
23,1651.5839622020721
24,1885.559075832367
25,205.41837286949158
26,397.1859800815582
27,1844.2694606781006
28,1978.8387243747711
29,1909.8517866134644
30,795.9649603366852
31,788.9601600170135
32,1075.4464128017426
33,1818.1485149860382
34,1131.8945546150208
35,343.3270523548126
36,406.2182426452637
37,1788.5398497581482
38,1107.6785142421722
39,428.5586621761322
40,2288.553367614746
41,888.115261554718
42,1409.0537087917328
43,204.82269859313965
44,1878.6362104415894
45,402.11210227012634
46,1873.4888153076172
47,227.20802927017212
48,841.3017148971558
49,2177.533016204834
50,1887.3914856910706
51,1838.393345117569
52,1741.735743522644
53,345.9651575088501
54,209.71356630325317
