,0
0,0.0670309066772461
1,0.03129935264587402
2,0.03212404251098633
3,0.03378939628601074
4,0.05131173133850098
5,0.03649115562438965
6,0.06110334396362305
7,0.05031108856201172
8,0.04365253448486328
9,0.06505680084228516
10,0.06625008583068848
11,0.04506874084472656
12,0.031581878662109375
13,0.055399179458618164
14,0.054016828536987305
15,0.053931236267089844
16,0.06374955177307129
17,0.03352952003479004
18,0.07148027420043945
19,0.07930207252502441
20,0.08264541625976562
21,0.06302261352539062
22,0.0625157356262207
23,0.03775525093078613
24,0.054959774017333984
25,0.07314085960388184
26,0.06074810028076172
27,0.06579136848449707
28,0.04618048667907715
29,0.030293703079223633
30,0.03058624267578125
31,0.03772091865539551
32,0.05127668380737305
33,0.06560063362121582
34,0.030938386917114258
35,0.05405163764953613
