,runTime
0,1.3779442310333252
1,2.1028850078582764
2,4.2988855838775635
3,2.4841270446777344
4,3.8033101558685303
5,1.2630589008331299
6,4.25355076789856
7,4.292023181915283
8,1.5940730571746826
9,3.901186227798462
10,1.2698004245758057
11,2.842019557952881
12,4.08104395866394
13,4.281134843826294
14,4.098237037658691
15,5.809746026992798
16,2.0713844299316406
17,4.306035041809082
18,1.2597119808197021
19,4.362363576889038
20,2.0845959186553955
21,1.3279006481170654
22,5.365529298782349
23,1.6123802661895752
24,1.9288947582244873
25,2.517491102218628
26,1.0006604194641113
27,3.6819076538085938
28,4.775343894958496
29,1.306854009628296
30,4.2837207317352295
31,1.5745770931243896
32,4.296550989151001
33,6.618186712265015
34,5.292346239089966
35,3.104902982711792
36,1.011786937713623
37,1.2552845478057861
38,2.5326685905456543
39,3.7777328491210938
40,5.334158897399902
41,5.290323495864868
42,2.087864637374878
43,3.637204885482788
44,3.134406089782715
45,1.402379035949707
46,0.9967234134674072
47,4.440523386001587
48,1.9258065223693848
49,6.732860565185547
50,1.0095024108886719
51,6.136206865310669
52,3.5798230171203613
53,1.3293113708496094
54,2.6721785068511963
55,1.332780361175537
56,4.35460638999939
57,1.8946239948272705
58,1.2164990901947021
59,3.592825174331665
60,4.309166193008423
61,4.867729425430298
62,1.0145189762115479
63,3.5946030616760254
64,6.464973449707031
65,3.918487071990967
66,4.293988943099976
67,0.9993436336517334
68,1.6182315349578857
69,2.5147204399108887
70,4.384382247924805
71,3.1719918251037598
72,4.209461688995361
