,0
0,0.07843136787414551
1,0.07833456993103027
2,0.07224392890930176
3,0.07514715194702148
4,0.07912755012512207
5,0.08745765686035156
6,0.07665300369262695
7,0.08281469345092773
8,0.17970776557922363
9,0.08670735359191895
10,0.08577728271484375
11,0.07591938972473145
12,0.0759742259979248
13,0.0712592601776123
14,0.16642117500305176
15,0.16594147682189941
16,0.08688616752624512
17,0.07474970817565918
18,0.07094240188598633
19,0.07139825820922852
20,0.07560181617736816
21,0.07454752922058105
22,0.07113933563232422
23,0.07443666458129883
24,0.1085362434387207
25,0.07545185089111328
26,0.14339280128479004
27,0.08414506912231445
28,0.07330131530761719
29,0.07513666152954102
30,0.08084988594055176
31,0.0905308723449707
32,0.07415056228637695
33,0.07391571998596191
34,0.07317280769348145
35,0.07368350028991699
36,0.07737851142883301
37,0.07097220420837402
38,0.15754079818725586
39,0.08345246315002441
40,0.08835768699645996
41,0.07205700874328613
42,0.07592129707336426
43,0.07048320770263672
44,0.07182860374450684
45,0.09503793716430664
46,0.08658599853515625
47,0.07238531112670898
48,0.0757455825805664
