,runTime
0,15.041123390197754
1,30.131619930267334
2,30.1015625
3,3.3273510932922363
4,11.784934997558594
5,28.79599142074585
6,3.7063610553741455
7,11.498248815536499
8,9.265155792236328
9,14.267885208129883
10,14.656402349472046
11,23.991760730743408
12,29.102980852127075
13,20.793251752853394
14,2.6726605892181396
15,14.903124332427979
16,14.470723628997803
17,29.11534571647644
18,14.473089218139648
19,15.052917003631592
20,10.34703779220581
21,14.138464212417603
22,12.150715589523315
23,2.901371717453003
24,14.025984525680542
25,13.731424570083618
26,12.071264028549194
27,14.483217477798462
28,4.935779333114624
29,29.505127429962158
30,28.76404643058777
31,2.9083287715911865
32,23.801029920578003
33,14.297162771224976
34,29.357368230819702
35,17.02217984199524
