,runTime
0,4740.542114973068
1,4214.202592849731
2,1070.1996266841888
3,4419.054714441299
4,2573.5723218917847
5,4873.485349655151
6,3789.6060066223145
7,789.3923101425171
8,2776.4850568771362
9,1501.464914560318
10,185.31371641159058
11,1075.593751192093
12,2816.0301411151886
13,1342.2342693805695
14,1562.7627756595612
15,2079.3939192295074
16,2239.3045885562897
17,4768.3446497917175
18,143.3561568260193
19,239.20598793029785
20,3331.7276837825775
21,805.6649007797241
22,1121.3503022193909
23,802.9836404323578
24,1907.606861114502
25,4108.195915699005
26,226.87248349189758
27,450.26282691955566
28,4264.447795391083
29,4084.585867166519
30,394.0805594921112
31,4584.401170253754
32,754.178715467453
33,560.6254734992981
34,4087.8345890045166
35,5215.950913190842
36,58.1091513633728
37,1321.9903452396393
38,4612.094842910767
39,3009.1356241703033
40,2298.073960542679
41,624.1788618564606
42,418.17578530311584
43,3.8500254154205322
44,2584.8940460681915
45,814.0195014476776
46,4087.4313113689423
47,2602.3536698818207
48,756.1514315605164
49,5309.048065185547
50,4066.839873790741
51,839.4921162128448
52,4077.1606793403625
53,1106.0053443908691
54,1020.1187243461609
55,629.8570606708527
56,4081.9541182518005
57,3561.5674698352814
58,585.0617814064026
59,279.39083552360535
60,4432.686448335648
61,1111.216055393219
62,131.0549328327179
63,2586.9251108169556
64,973.2978055477142
65,4113.066682815552
66,4423.17653465271
67,4303.461618185043
68,4482.811411619186
69,4658.952034473419
70,4470.645184755325
71,4466.021628141403
72,752.1144909858704
73,7192.130848407745
74,3542.4043753147125
75,847.6538848876953
76,433.6212463378906
77,1645.3441669940948
78,47.07104706764221
79,853.7045969963074
80,508.15936064720154
81,625.5768327713013
82,1597.6659870147705
83,788.3696548938751
84,2108.125245332718
85,4069.0670886039734
86,12.00895619392395
87,626.6929476261139
88,954.7253332138062
89,2906.2357931137085
90,2611.0511219501495
91,419.37782073020935
92,881.1401917934418
93,270.92557764053345
94,3305.1456122398376
95,480.3348731994629
96,626.32164311409
97,718.793628692627
98,982.0435793399811
99,4419.647714614868
100,4480.36883687973
101,807.8958008289337
102,419.3134112358093
103,419.09565806388855
104,1849.6578187942505
