,runTime
0,2.322756767272949
1,2.2987849712371826
2,2.2605268955230713
3,2.3033559322357178
4,2.334178924560547
5,3.367629051208496
6,2.3323886394500732
7,2.2962546348571777
8,5.509625434875488
9,2.3064990043640137
10,3.375697135925293
11,2.324272632598877
12,2.3359971046447754
13,2.3028666973114014
14,5.4518115520477295
15,5.584003686904907
16,2.32295560836792
17,2.301496744155884
18,2.223261833190918
19,2.291780710220337
20,2.2691457271575928
21,2.32059907913208
22,2.2639963626861572
23,2.262878894805908
24,3.32621431350708
25,2.2909023761749268
26,4.53771185874939
27,2.251396656036377
28,2.2887959480285645
29,2.308852195739746
30,2.294140338897705
31,3.3027284145355225
32,2.289386034011841
33,2.254452705383301
34,2.3312666416168213
35,2.288491725921631
36,2.381727933883667
37,2.2984061241149902
38,5.502564907073975
39,2.371762990951538
40,2.3231019973754883
41,2.2646450996398926
42,2.3039352893829346
43,2.3215444087982178
44,2.2949628829956055
45,3.445169687271118
46,3.3999884128570557
47,2.3054444789886475
48,2.3116512298583984
