,0
0,0.5039370078740157
1,0.29545454545454547
2,0.29545454545454547
3,0.0
4,1.0
5,0.5267857142857143
6,0.07886435331230283
7,1.0
8,1.0
9,0.30118110236220474
10,0.30118110236220474
11,1.0
12,0.29545454545454547
13,1.0
14,0.0
15,1.0
16,0.3080708661417323
17,0.29545454545454547
18,0.5643340857787811
19,0.3080708661417323
20,0.3833543505674653
21,0.30118110236220474
22,0.44538834951456313
23,0.0
24,1.0
25,0.29822834645669294
26,0.3687707641196013
27,0.30118110236220474
28,0.1141732283464567
29,0.29545454545454547
30,0.29545454545454547
31,0.0
32,1.0
33,0.3080708661417323
34,0.29545454545454547
35,0.5568053993250843
