,0
0,0.07894736842105263
1,0.0
2,0.47368421052631576
3,0.0
4,0.0
5,0.13513513513513514
6,0.3409090909090909
7,0.17647058823529413
8,0.21875
9,0.1875
10,0.0
11,0.0
12,0.05263157894736842
13,0.125
14,0.0
15,0.3695652173913043
16,0.09090909090909091
17,0.2619047619047619
18,0.0
19,0.0
20,0.3114754098360656
21,0.17647058823529413
22,0.0
23,0.17647058823529413
24,0.4
25,0.23809523809523808
26,0.25
27,0.0
28,0.0
29,0.4444444444444444
30,0.782608695652174
31,0.21428571428571427
32,0.2222222222222222
33,0.0
34,0.4444444444444444
35,0.0
36,0.0
37,0.23809523809523808
38,0.13157894736842105
39,0.15625
40,0.0
41,0.25
42,0.3333333333333333
43,0.0
44,0.3548387096774194
45,0.17647058823529413
46,0.4444444444444444
47,0.3548387096774194
48,0.2222222222222222
49,0.030303030303030304
50,0.4444444444444444
51,0.3
52,0.4444444444444444
53,0.0
54,0.0
55,0.3333333333333333
56,0.0
57,0.02857142857142857
58,0.0
59,0.0
60,0.1282051282051282
61,0.0
62,0.0
63,0.0
64,0.0
65,0.2727272727272727
66,0.03225806451612903
67,0.3409090909090909
68,0.1111111111111111
69,0.10526315789473684
70,0.21951219512195122
71,0.125
72,0.2222222222222222
73,0.0
74,0.08823529411764706
75,0.45
76,0.3076923076923077
77,0.0
78,0.0
79,0.45
80,0.29411764705882354
81,0.3333333333333333
82,0.058823529411764705
83,0.14285714285714285
84,0.0
85,0.4444444444444444
86,0.0
87,0.3333333333333333
88,0.13636363636363635
89,0.047619047619047616
90,0.17857142857142858
91,0.0
92,0.0
93,0.0
94,0.1
95,0.0
96,0.3333333333333333
97,0.16666666666666666
98,0.0
99,0.29545454545454547
100,0.3409090909090909
101,0.17647058823529413
102,0.0
103,0.2857142857142857
104,0.07692307692307693
