,0
0,0.0
1,0.0
2,0.375
3,0.0
4,0.3076923076923077
5,0.0
6,0.2
7,0.2
8,0.0
9,0.35714285714285715
10,0.0
11,0.25
12,0.3125
13,0.2
14,0.375
15,0.44
16,0.0
17,0.4375
18,0.0
19,0.4375
20,0.0
21,0.0
22,0.6521739130434783
23,0.0
24,0.0
25,0.25
26,0.0
27,0.08333333333333333
28,0.42105263157894735
29,0.0
30,0.4375
31,0.3333333333333333
32,0.4375
33,0.5
34,0.3181818181818182
35,0.2222222222222222
36,0.0
37,0.0
38,0.0
39,0.3076923076923077
40,0.5909090909090909
41,0.3181818181818182
42,0.0
43,0.3333333333333333
44,0.0
45,0.0
46,0.0
47,0.4444444444444444
48,0.0
49,0.6818181818181818
50,0.0
51,0.7037037037037037
52,0.3076923076923077
53,0.0
54,0.375
55,0.0
56,0.4375
57,0.0
58,0.0
59,0.25
60,0.4375
61,0.6
62,0.0
63,0.18181818181818182
64,0.8214285714285714
65,0.21428571428571427
66,0.29411764705882354
67,0.0
68,0.0
69,0.0
70,0.4375
71,0.0
72,0.2
