,1Jie,2Jie,3Jie,4Jie,5Jie,6Jie,7Jie
0,4,6,4,1,0,0,0
1,1,4,6,4,1,0,0
2,4,10,10,5,1,0,0
3,1,6,11,8,2,0,0
4,1,6,8,4,1,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,1,4,6,4,1,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,1,4,6,4,1,0,0
11,1,2,1,0,0,0,0
12,1,6,11,8,2,0,0
13,1,5,9,7,2,0,0
14,1,4,6,4,1,0,0
15,5,10,10,5,1,0,0
16,1,4,5,2,0,0,0
17,2,10,12,6,1,0,0
18,2,7,7,2,0,0,0
19,1,4,6,4,1,0,0
